forecast_id,product_id,brand_name,year,month,actual_units,predicted_units,recommended_stock,variance_pct,model_used,accuracy_pct
FC00037,PRD001,Sunsilk,2025,1,795,845,1056,6.3,Linear Regression,89.4
FC00038,PRD001,Sunsilk,2025,2,1101,1016,1270,7.7,Random Forest,86.4
FC00039,PRD001,Sunsilk,2025,3,1380,1257,1571,8.9,Random Forest,90.9
FC00040,PRD001,Sunsilk,2025,4,943,880,1100,6.7,ARIMA,93.8
FC00041,PRD001,Sunsilk,2025,5,1135,1211,1513,6.7,Linear Regression,90.3
FC00042,PRD001,Sunsilk,2025,6,1464,1515,1893,3.5,Linear Regression,95.7
FC00043,PRD001,Sunsilk,2025,7,1171,1238,1547,5.7,Random Forest,88.8
FC00044,PRD001,Sunsilk,2025,8,1201,1100,1375,8.4,Random Forest,87.9
FC00045,PRD001,Sunsilk,2025,9,649,689,861,6.2,ARIMA,85.3
FC00046,PRD001,Sunsilk,2025,10,1698,1818,2272,7.1,Linear Regression,95.7
FC00047,PRD001,Sunsilk,2025,11,1326,1201,1501,9.4,Random Forest,97.0
FC00048,PRD001,Sunsilk,2025,12,727,791,988,8.8,ARIMA,90.1
FC00049,PRD002,Head & Shoulders,2022,1,771,842,1052,9.2,Random Forest,85.4
FC00050,PRD002,Head & Shoulders,2022,2,806,820,1025,1.7,Linear Regression,96.6
FC00051,PRD002,Head & Shoulders,2022,3,814,867,1083,6.5,Random Forest,90.0
FC00052,PRD002,Head & Shoulders,2022,4,1086,1137,1421,4.7,Random Forest,85.6
FC00053,PRD002,Head & Shoulders,2022,5,986,1025,1281,4.0,Random Forest,91.1
FC00054,PRD002,Head & Shoulders,2022,6,1119,1079,1348,3.6,Random Forest,82.0
FC00055,PRD002,Head & Shoulders,2022,7,1056,1122,1402,6.2,Random Forest,82.1
FC00056,PRD002,Head & Shoulders,2022,8,914,963,1203,5.4,Linear Regression,87.6
FC00057,PRD002,Head & Shoulders,2022,9,943,872,1090,7.5,ARIMA,86.3
FC00058,PRD002,Head & Shoulders,2022,10,1430,1516,1895,6.0,Random Forest,87.3
FC00059,PRD002,Head & Shoulders,2022,11,1466,1578,1972,7.6,Random Forest,90.8
FC00060,PRD002,Head & Shoulders,2022,12,1499,1446,1807,3.5,ARIMA,88.7
FC00061,PRD002,Head & Shoulders,2023,1,781,831,1038,6.4,Random Forest,94.2
FC00062,PRD002,Head & Shoulders,2023,2,1263,1175,1468,7.0,Random Forest,90.4
FC00063,PRD002,Head & Shoulders,2023,3,1090,1142,1427,4.8,Random Forest,94.2
FC00064,PRD002,Head & Shoulders,2023,4,588,640,800,8.8,Random Forest,86.6
FC00065,PRD002,Head & Shoulders,2023,5,987,897,1121,9.1,Linear Regression,91.5
FC00066,PRD002,Head & Shoulders,2023,6,814,802,1002,1.5,Random Forest,91.1
FC00067,PRD002,Head & Shoulders,2023,7,900,870,1087,3.3,ARIMA,83.4
FC00068,PRD002,Head & Shoulders,2023,8,1194,1230,1537,3.0,Random Forest,83.2
FC00069,PRD002,Head & Shoulders,2023,9,1325,1212,1515,8.5,Linear Regression,84.1
FC00070,PRD002,Head & Shoulders,2023,10,1092,1041,1301,4.7,Random Forest,88.0
FC00071,PRD002,Head & Shoulders,2023,11,1056,1010,1262,4.4,Linear Regression,93.1
FC00072,PRD002,Head & Shoulders,2023,12,863,932,1165,8.0,Random Forest,84.2
FC00073,PRD002,Head & Shoulders,2024,1,747,736,920,1.5,ARIMA,90.0
FC00074,PRD002,Head & Shoulders,2024,2,698,702,877,0.6,Linear Regression,93.0
FC00075,PRD002,Head & Shoulders,2024,3,1342,1279,1598,4.7,Linear Regression,84.4
FC00076,PRD002,Head & Shoulders,2024,4,1285,1265,1581,1.6,Random Forest,85.7
FC00077,PRD002,Head & Shoulders,2024,5,602,628,785,4.3,ARIMA,88.9
FC00078,PRD002,Head & Shoulders,2024,6,1100,1064,1330,3.3,Random Forest,93.2
FC00079,PRD002,Head & Shoulders,2024,7,1086,1038,1297,4.4,Random Forest,95.6
FC00080,PRD002,Head & Shoulders,2024,8,733,709,886,3.3,Linear Regression,85.1
FC00081,PRD002,Head & Shoulders,2024,9,1352,1287,1608,4.8,Linear Regression,96.4
FC00082,PRD002,Head & Shoulders,2024,10,1516,1422,1777,6.2,Random Forest,93.3
FC00083,PRD002,Head & Shoulders,2024,11,1445,1488,1860,3.0,Random Forest,94.1
FC00084,PRD002,Head & Shoulders,2024,12,1454,1471,1838,1.2,Random Forest,85.9
FC00085,PRD002,Head & Shoulders,2025,1,1118,1089,1361,2.6,Random Forest,89.7
FC00086,PRD002,Head & Shoulders,2025,2,637,582,727,8.6,Linear Regression,96.6
FC00087,PRD002,Head & Shoulders,2025,3,742,790,987,6.5,Random Forest,84.0
FC00088,PRD002,Head & Shoulders,2025,4,1215,1094,1367,10.0,Random Forest,96.3
FC00089,PRD002,Head & Shoulders,2025,5,1705,1836,2295,7.7,ARIMA,86.3
FC00090,PRD002,Head & Shoulders,2025,6,1094,1201,1501,9.8,ARIMA,94.7
FC00091,PRD002,Head & Shoulders,2025,7,605,582,727,3.8,Linear Regression,90.7
FC00092,PRD002,Head & Shoulders,2025,8,1043,1053,1316,1.0,Random Forest,95.4
FC00093,PRD002,Head & Shoulders,2025,9,1422,1546,1932,8.7,Linear Regression,85.7
FC00094,PRD002,Head & Shoulders,2025,10,1186,1304,1630,9.9,Random Forest,82.1
FC00095,PRD002,Head & Shoulders,2025,11,995,978,1222,1.7,ARIMA,84.9
FC00096,PRD002,Head & Shoulders,2025,12,1093,1190,1487,8.9,Linear Regression,83.6
FC00097,PRD003,Himalaya,2022,1,1319,1196,1495,9.3,Random Forest,96.8
FC00098,PRD003,Himalaya,2022,2,1028,976,1220,5.1,ARIMA,89.1
FC00099,PRD003,Himalaya,2022,3,1275,1169,1461,8.3,Random Forest,85.5
FC00100,PRD003,Himalaya,2022,4,1517,1410,1762,7.1,Random Forest,82.9
FC00101,PRD003,Himalaya,2022,5,1468,1595,1993,8.7,Linear Regression,96.2
FC00102,PRD003,Himalaya,2022,6,962,926,1157,3.7,Linear Regression,90.7
FC00103,PRD003,Himalaya,2022,7,983,1041,1301,5.9,ARIMA,91.3
FC00104,PRD003,Himalaya,2022,8,1043,970,1212,7.0,Random Forest,83.2
FC00105,PRD003,Himalaya,2022,9,1628,1709,2136,5.0,Linear Regression,96.1
FC00106,PRD003,Himalaya,2022,10,830,748,935,9.9,Random Forest,90.3
FC00107,PRD003,Himalaya,2022,11,898,835,1043,7.0,ARIMA,87.4
FC00108,PRD003,Himalaya,2022,12,1339,1303,1628,2.7,Random Forest,86.0
FC00109,PRD003,Himalaya,2023,1,646,688,860,6.5,Random Forest,94.3
FC00110,PRD003,Himalaya,2023,2,998,979,1223,1.9,Linear Regression,95.4
FC00111,PRD003,Himalaya,2023,3,1770,1717,2146,3.0,ARIMA,89.6
FC00112,PRD003,Himalaya,2023,4,1192,1084,1355,9.1,ARIMA,83.2
FC00113,PRD003,Himalaya,2023,5,960,1038,1297,8.1,ARIMA,92.6
FC00114,PRD003,Himalaya,2023,6,589,618,772,4.9,Random Forest,88.4
FC00115,PRD003,Himalaya,2023,7,1305,1320,1650,1.1,Random Forest,90.8
FC00116,PRD003,Himalaya,2023,8,973,1052,1315,8.1,ARIMA,88.4
FC00117,PRD003,Himalaya,2023,9,1098,1022,1277,6.9,Random Forest,84.2
FC00118,PRD003,Himalaya,2023,10,1691,1572,1965,7.0,Random Forest,84.6
FC00119,PRD003,Himalaya,2023,11,1134,1072,1340,5.5,Linear Regression,84.5
FC00120,PRD003,Himalaya,2023,12,1633,1517,1896,7.1,Random Forest,93.5
FC00121,PRD003,Himalaya,2024,1,737,768,960,4.2,Random Forest,91.9
FC00122,PRD003,Himalaya,2024,2,816,796,995,2.5,ARIMA,95.3
FC00123,PRD003,Himalaya,2024,3,1299,1426,1782,9.8,Linear Regression,82.5
FC00124,PRD003,Himalaya,2024,4,879,916,1145,4.2,Random Forest,89.0
FC00125,PRD003,Himalaya,2024,5,1117,1027,1283,8.1,Random Forest,84.3
FC00126,PRD003,Himalaya,2024,6,1031,1117,1396,8.3,Linear Regression,87.4
FC00127,PRD003,Himalaya,2024,7,927,866,1082,6.6,Random Forest,90.3
FC00128,PRD003,Himalaya,2024,8,1156,1245,1556,7.7,Random Forest,86.2
FC00129,PRD003,Himalaya,2024,9,809,836,1045,3.3,Linear Regression,89.5
FC00130,PRD003,Himalaya,2024,10,1551,1542,1927,0.6,ARIMA,83.4
FC00131,PRD003,Himalaya,2024,11,1586,1431,1788,9.8,Random Forest,87.7
FC00132,PRD003,Himalaya,2024,12,1257,1185,1481,5.7,Linear Regression,89.5
FC00133,PRD003,Himalaya,2025,1,1232,1129,1411,8.4,Linear Regression,88.4
FC00134,PRD003,Himalaya,2025,2,915,882,1102,3.6,Random Forest,96.9
FC00135,PRD003,Himalaya,2025,3,1451,1353,1691,6.8,Random Forest,92.5
FC00136,PRD003,Himalaya,2025,4,831,844,1055,1.6,Linear Regression,91.5
FC00137,PRD003,Himalaya,2025,5,1146,1256,1570,9.6,ARIMA,91.3
FC00138,PRD003,Himalaya,2025,6,845,794,992,6.0,Random Forest,90.2
FC00139,PRD003,Himalaya,2025,7,592,609,761,2.9,Linear Regression,91.5
FC00140,PRD003,Himalaya,2025,8,742,811,1013,9.3,Random Forest,95.0
FC00141,PRD003,Himalaya,2025,9,1069,1053,1316,1.5,Linear Regression,88.8
FC00142,PRD003,Himalaya,2025,10,1267,1153,1441,9.0,Linear Regression,87.1
FC00143,PRD003,Himalaya,2025,11,1180,1169,1461,0.9,Linear Regression,89.8
FC00144,PRD003,Himalaya,2025,12,1379,1512,1890,9.6,Random Forest,95.2
FC00145,PRD004,Vaseline,2022,1,829,809,1011,2.4,ARIMA,84.6
FC00146,PRD004,Vaseline,2022,2,855,863,1078,0.9,Random Forest,96.7
FC00147,PRD004,Vaseline,2022,3,823,818,1022,0.6,Random Forest,94.4
FC00148,PRD004,Vaseline,2022,4,1258,1196,1495,4.9,Random Forest,86.4
FC00149,PRD004,Vaseline,2022,5,786,851,1063,8.3,Linear Regression,95.9
FC00150,PRD004,Vaseline,2022,6,982,980,1225,0.2,Linear Regression,93.7
FC00151,PRD004,Vaseline,2022,7,824,766,957,7.0,ARIMA,96.3
FC00152,PRD004,Vaseline,2022,8,1226,1153,1441,6.0,Random Forest,86.2
FC00153,PRD004,Vaseline,2022,9,1122,1069,1336,4.7,ARIMA,89.3
FC00154,PRD004,Vaseline,2022,10,1973,1859,2323,5.8,Linear Regression,86.5
FC00155,PRD004,Vaseline,2022,11,1302,1284,1605,1.4,ARIMA,92.9
FC00156,PRD004,Vaseline,2022,12,1549,1572,1965,1.5,Random Forest,88.6
FC00157,PRD004,Vaseline,2023,1,1407,1423,1778,1.1,Random Forest,87.8
FC00158,PRD004,Vaseline,2023,2,475,472,590,0.6,Linear Regression,83.9
FC00159,PRD004,Vaseline,2023,3,881,806,1007,8.5,ARIMA,83.6
FC00160,PRD004,Vaseline,2023,4,898,852,1065,5.1,Random Forest,94.1
FC00161,PRD004,Vaseline,2023,5,1718,1879,2348,9.4,Random Forest,95.3
FC00162,PRD004,Vaseline,2023,6,1005,1044,1305,3.9,Linear Regression,87.4
FC00163,PRD004,Vaseline,2023,7,1262,1252,1565,0.8,Random Forest,82.2
FC00164,PRD004,Vaseline,2023,8,1148,1254,1567,9.2,ARIMA,92.9
FC00165,PRD004,Vaseline,2023,9,1305,1212,1515,7.1,Random Forest,86.0
FC00166,PRD004,Vaseline,2023,10,1830,1722,2152,5.9,Random Forest,87.2
FC00167,PRD004,Vaseline,2023,11,729,699,873,4.1,ARIMA,91.6
FC00168,PRD004,Vaseline,2023,12,1223,1117,1396,8.7,Random Forest,95.8
FC00169,PRD004,Vaseline,2024,1,840,768,960,8.6,Random Forest,87.9
FC00170,PRD004,Vaseline,2024,2,763,746,932,2.2,Random Forest,84.3
FC00171,PRD004,Vaseline,2024,3,1278,1172,1465,8.3,Random Forest,89.1
FC00172,PRD004,Vaseline,2024,4,1064,967,1208,9.1,Random Forest,82.0
FC00173,PRD004,Vaseline,2024,5,1087,1119,1398,2.9,ARIMA,89.3
FC00174,PRD004,Vaseline,2024,6,822,758,947,7.8,Random Forest,85.8
FC00175,PRD004,Vaseline,2024,7,1255,1190,1487,5.2,ARIMA,89.6
FC00176,PRD004,Vaseline,2024,8,700,648,810,7.4,Random Forest,95.1
FC00177,PRD004,Vaseline,2024,9,1408,1515,1893,7.6,Random Forest,93.1
FC00178,PRD004,Vaseline,2024,10,866,916,1145,5.8,Linear Regression,89.5
FC00179,PRD004,Vaseline,2024,11,1413,1456,1820,3.0,Random Forest,95.3
FC00180,PRD004,Vaseline,2024,12,1820,1911,2388,5.0,ARIMA,84.3
FC00181,PRD004,Vaseline,2025,1,999,1062,1327,6.3,Random Forest,89.2
FC00182,PRD004,Vaseline,2025,2,1006,1066,1332,6.0,Linear Regression,95.5
FC00183,PRD004,Vaseline,2025,3,952,986,1232,3.6,Random Forest,83.5
FC00184,PRD004,Vaseline,2025,4,1088,1117,1396,2.7,Linear Regression,87.4
FC00185,PRD004,Vaseline,2025,5,1010,1095,1368,8.4,Linear Regression,89.1
FC00186,PRD004,Vaseline,2025,6,1188,1242,1552,4.5,Linear Regression,95.2
FC00187,PRD004,Vaseline,2025,7,1190,1107,1383,7.0,Random Forest,92.4
FC00188,PRD004,Vaseline,2025,8,1201,1086,1357,9.6,Linear Regression,85.7
FC00189,PRD004,Vaseline,2025,9,1133,1150,1437,1.5,ARIMA,91.9
FC00190,PRD004,Vaseline,2025,10,836,871,1088,4.2,Random Forest,95.5
FC00191,PRD004,Vaseline,2025,11,1090,1148,1435,5.3,ARIMA,90.2
FC00192,PRD004,Vaseline,2025,12,1248,1140,1425,8.7,Random Forest,97.0
FC00193,PRD005,Ponds,2022,1,1120,1064,1330,5.0,ARIMA,95.8
FC00194,PRD005,Ponds,2022,2,789,831,1038,5.3,Random Forest,86.5
FC00195,PRD005,Ponds,2022,3,1363,1333,1666,2.2,ARIMA,89.9
FC00196,PRD005,Ponds,2022,4,1083,987,1233,8.9,Random Forest,83.3
FC00197,PRD005,Ponds,2022,5,1352,1262,1577,6.7,Random Forest,85.7
FC00198,PRD005,Ponds,2022,6,958,879,1098,8.2,Random Forest,95.4
FC00199,PRD005,Ponds,2022,7,1003,1000,1250,0.3,Random Forest,96.7
FC00200,PRD005,Ponds,2022,8,799,788,985,1.4,Random Forest,93.4
FC00201,PRD005,Ponds,2022,9,1090,1085,1356,0.5,Linear Regression,89.1
FC00202,PRD005,Ponds,2022,10,1527,1626,2032,6.5,Random Forest,82.0
FC00203,PRD005,Ponds,2022,11,1134,1097,1371,3.3,Random Forest,92.2
FC00204,PRD005,Ponds,2022,12,1703,1588,1985,6.8,ARIMA,96.2
FC00205,PRD005,Ponds,2023,1,990,925,1156,6.6,Linear Regression,90.4
FC00206,PRD005,Ponds,2023,2,939,931,1163,0.9,ARIMA,85.4
FC00207,PRD005,Ponds,2023,3,974,934,1167,4.1,Linear Regression,85.0
FC00208,PRD005,Ponds,2023,4,1158,1104,1380,4.7,Random Forest,83.1
FC00209,PRD005,Ponds,2023,5,1136,1132,1415,0.4,Random Forest,96.6
FC00210,PRD005,Ponds,2023,6,1072,1060,1325,1.1,Random Forest,89.4
FC00211,PRD005,Ponds,2023,7,1292,1202,1502,7.0,Random Forest,89.6
FC00212,PRD005,Ponds,2023,8,1219,1284,1605,5.3,Random Forest,83.9
FC00213,PRD005,Ponds,2023,9,1457,1600,2000,9.8,Random Forest,86.1
FC00214,PRD005,Ponds,2023,10,1148,1055,1318,8.1,Random Forest,96.4
FC00215,PRD005,Ponds,2023,11,1209,1113,1391,7.9,Random Forest,96.3
FC00216,PRD005,Ponds,2023,12,1520,1533,1916,0.9,Random Forest,95.1
FC00217,PRD005,Ponds,2024,1,733,667,833,9.0,ARIMA,87.0
FC00218,PRD005,Ponds,2024,2,968,988,1235,2.1,ARIMA,88.0
FC00219,PRD005,Ponds,2024,3,957,991,1238,3.6,ARIMA,86.5
FC00220,PRD005,Ponds,2024,4,1341,1320,1650,1.6,Linear Regression,89.4
FC00221,PRD005,Ponds,2024,5,788,852,1065,8.1,Random Forest,85.7
FC00222,PRD005,Ponds,2024,6,961,1022,1277,6.3,Linear Regression,92.7
FC00223,PRD005,Ponds,2024,7,1159,1210,1512,4.4,Random Forest,84.6
FC00224,PRD005,Ponds,2024,8,1265,1339,1673,5.8,Linear Regression,88.5
FC00225,PRD005,Ponds,2024,9,618,559,698,9.5,Random Forest,96.0
FC00226,PRD005,Ponds,2024,10,1704,1637,2046,3.9,Random Forest,93.1
FC00227,PRD005,Ponds,2024,11,665,706,882,6.2,Linear Regression,85.6
FC00228,PRD005,Ponds,2024,12,1916,1878,2347,2.0,Random Forest,85.8
FC00229,PRD005,Ponds,2025,1,571,600,750,5.1,Random Forest,85.0
FC00230,PRD005,Ponds,2025,2,604,600,750,0.7,Linear Regression,82.9
FC00231,PRD005,Ponds,2025,3,1578,1602,2002,1.5,ARIMA,88.2
FC00232,PRD005,Ponds,2025,4,1183,1123,1403,5.1,ARIMA,90.5
FC00233,PRD005,Ponds,2025,5,1020,977,1221,4.2,Random Forest,82.3
FC00234,PRD005,Ponds,2025,6,831,861,1076,3.6,Random Forest,84.3
FC00235,PRD005,Ponds,2025,7,1109,1206,1507,8.7,Random Forest,85.1
FC00236,PRD005,Ponds,2025,8,670,686,857,2.4,Linear Regression,95.2
FC00237,PRD005,Ponds,2025,9,1034,968,1210,6.4,Random Forest,93.1
FC00238,PRD005,Ponds,2025,10,946,855,1068,9.6,Linear Regression,85.4
FC00239,PRD005,Ponds,2025,11,1100,1017,1271,7.5,Linear Regression,94.5
FC00240,PRD005,Ponds,2025,12,1982,1928,2410,2.7,Linear Regression,85.9
FC00241,PRD006,Dabur Amla,2022,1,906,973,1216,7.4,ARIMA,91.2
FC00242,PRD006,Dabur Amla,2022,2,836,853,1066,2.0,ARIMA,95.2
FC00243,PRD006,Dabur Amla,2022,3,872,827,1033,5.2,Random Forest,82.1
FC00244,PRD006,Dabur Amla,2022,4,1038,981,1226,5.5,Random Forest,85.9
FC00245,PRD006,Dabur Amla,2022,5,932,1017,1271,9.1,Random Forest,95.2
FC00246,PRD006,Dabur Amla,2022,6,626,652,815,4.2,Linear Regression,88.1
FC00247,PRD006,Dabur Amla,2022,7,1236,1194,1492,3.4,Random Forest,88.8
FC00248,PRD006,Dabur Amla,2022,8,907,857,1071,5.5,Random Forest,94.8
FC00249,PRD006,Dabur Amla,2022,9,732,661,826,9.7,Random Forest,90.9
FC00250,PRD006,Dabur Amla,2022,10,953,859,1073,9.9,Linear Regression,88.9
FC00251,PRD006,Dabur Amla,2022,11,1656,1747,2183,5.5,Random Forest,85.8
FC00252,PRD006,Dabur Amla,2022,12,2264,2109,2636,6.8,Random Forest,90.8
FC00253,PRD006,Dabur Amla,2023,1,908,910,1137,0.2,Linear Regression,91.9
FC00254,PRD006,Dabur Amla,2023,2,824,830,1037,0.7,Linear Regression,86.6
FC00255,PRD006,Dabur Amla,2023,3,1198,1176,1470,1.8,ARIMA,95.5
FC00256,PRD006,Dabur Amla,2023,4,842,832,1040,1.2,Random Forest,91.7
FC00257,PRD006,Dabur Amla,2023,5,1150,1144,1430,0.5,Random Forest,86.4
FC00258,PRD006,Dabur Amla,2023,6,948,933,1166,1.6,Linear Regression,95.0
FC00259,PRD006,Dabur Amla,2023,7,1248,1228,1535,1.6,Linear Regression,96.6
FC00260,PRD006,Dabur Amla,2023,8,694,717,896,3.3,Random Forest,90.5
FC00261,PRD006,Dabur Amla,2023,9,1451,1464,1830,0.9,Linear Regression,96.0
FC00262,PRD006,Dabur Amla,2023,10,1702,1714,2142,0.7,Linear Regression,82.7
FC00263,PRD006,Dabur Amla,2023,11,1606,1748,2185,8.8,ARIMA,83.1
FC00264,PRD006,Dabur Amla,2023,12,1697,1811,2263,6.7,Random Forest,89.1
FC00265,PRD006,Dabur Amla,2024,1,982,926,1157,5.7,Random Forest,84.9
FC00266,PRD006,Dabur Amla,2024,2,640,677,846,5.8,Linear Regression,82.9
FC00267,PRD006,Dabur Amla,2024,3,1356,1260,1575,7.1,Random Forest,83.0
FC00268,PRD006,Dabur Amla,2024,4,1044,1003,1253,3.9,Linear Regression,93.0
FC00269,PRD006,Dabur Amla,2024,5,1435,1430,1787,0.3,Random Forest,92.3
FC00270,PRD006,Dabur Amla,2024,6,1426,1285,1606,9.9,Random Forest,92.3
FC00271,PRD006,Dabur Amla,2024,7,1001,1050,1312,4.9,Random Forest,96.5
FC00272,PRD006,Dabur Amla,2024,8,862,947,1183,9.9,Random Forest,82.0
FC00273,PRD006,Dabur Amla,2024,9,1013,1095,1368,8.1,Random Forest,96.4
FC00274,PRD006,Dabur Amla,2024,10,1970,1942,2427,1.4,Random Forest,94.0
FC00275,PRD006,Dabur Amla,2024,11,1357,1426,1782,5.1,Linear Regression,92.2
FC00276,PRD006,Dabur Amla,2024,12,1606,1605,2006,0.1,ARIMA,94.6
FC00277,PRD006,Dabur Amla,2025,1,925,932,1165,0.8,Linear Regression,94.8
FC00278,PRD006,Dabur Amla,2025,2,1025,1054,1317,2.8,ARIMA,83.3
FC00279,PRD006,Dabur Amla,2025,3,1234,1159,1448,6.1,Random Forest,86.7
FC00280,PRD006,Dabur Amla,2025,4,940,970,1212,3.2,ARIMA,85.7
FC00281,PRD006,Dabur Amla,2025,5,1615,1532,1915,5.1,Linear Regression,86.4
FC00282,PRD006,Dabur Amla,2025,6,698,726,907,4.0,Random Forest,93.9
FC00283,PRD006,Dabur Amla,2025,7,957,968,1210,1.1,Linear Regression,95.7
FC00284,PRD006,Dabur Amla,2025,8,1329,1361,1701,2.4,Linear Regression,95.6
FC00285,PRD006,Dabur Amla,2025,9,1305,1405,1756,7.7,Random Forest,89.4
FC00286,PRD006,Dabur Amla,2025,10,1062,994,1242,6.4,ARIMA,92.3
FC00287,PRD006,Dabur Amla,2025,11,1545,1447,1808,6.3,Linear Regression,83.5
FC00288,PRD006,Dabur Amla,2025,12,1811,1967,2458,8.6,Random Forest,95.8
FC00289,PRD007,Colgate,2022,1,1130,1017,1271,10.0,ARIMA,83.5
FC00290,PRD007,Colgate,2022,2,1155,1068,1335,7.5,Linear Regression,82.7
FC00291,PRD007,Colgate,2022,3,1047,963,1203,8.0,Linear Regression,84.4
FC00292,PRD007,Colgate,2022,4,1229,1133,1416,7.8,Random Forest,84.3
FC00293,PRD007,Colgate,2022,5,568,552,690,2.8,Linear Regression,93.6
FC00294,PRD007,Colgate,2022,6,1137,1200,1500,5.5,Random Forest,83.3
FC00295,PRD007,Colgate,2022,7,920,964,1205,4.8,Random Forest,90.1
FC00296,PRD007,Colgate,2022,8,874,813,1016,7.0,Random Forest,89.9
FC00297,PRD007,Colgate,2022,9,1084,1059,1323,2.3,Random Forest,92.0
FC00298,PRD007,Colgate,2022,10,1590,1744,2180,9.7,ARIMA,82.2
FC00299,PRD007,Colgate,2022,11,1179,1248,1560,5.9,Random Forest,85.1
FC00300,PRD007,Colgate,2022,12,1881,1812,2265,3.7,ARIMA,92.3
FC00301,PRD007,Colgate,2023,1,848,868,1085,2.4,Linear Regression,82.5
FC00302,PRD007,Colgate,2023,2,827,820,1025,0.8,Random Forest,91.7
FC00303,PRD007,Colgate,2023,3,788,758,947,3.8,Random Forest,84.7
FC00304,PRD007,Colgate,2023,4,1290,1232,1540,4.5,Random Forest,92.3
FC00305,PRD007,Colgate,2023,5,1395,1479,1848,6.0,Random Forest,87.0
FC00306,PRD007,Colgate,2023,6,1041,1042,1302,0.1,Random Forest,89.2
FC00307,PRD007,Colgate,2023,7,1202,1275,1593,6.1,Linear Regression,92.4
FC00308,PRD007,Colgate,2023,8,1296,1383,1728,6.7,ARIMA,85.8
FC00309,PRD007,Colgate,2023,9,1139,1100,1375,3.4,ARIMA,94.1
FC00310,PRD007,Colgate,2023,10,1400,1513,1891,8.1,Random Forest,92.2
FC00311,PRD007,Colgate,2023,11,1174,1224,1530,4.3,ARIMA,87.7
FC00312,PRD007,Colgate,2023,12,1141,1079,1348,5.4,Random Forest,96.4
FC00313,PRD007,Colgate,2024,1,1010,969,1211,4.1,Random Forest,85.6
FC00314,PRD007,Colgate,2024,2,1079,1136,1420,5.3,Random Forest,82.3
FC00315,PRD007,Colgate,2024,3,1027,1014,1267,1.3,Random Forest,91.6
